gene	SRX007811	SRX008015	SRX008027	SRX008025	SRX008010	SRX008005	SRX008018	SRX008007	SRX008006	SRX008020	SRX008011	SRX008019	SRX008026	SRX008008	SRX008009	SRX008029	SRX008014	SRX008156	SRX008023	SRX008016	SRX008013	SRX008022	SRX008024	SRX008012	SRX008028	SRX008021	SRX008171	SRX008155	SRX008017	SRX008157
FBgn0031064	6	33	169	151	148	380	934	2229	2656	3123	1494	2777	3119	1224	137	93	226	382	440	281	579	105	102	960	1416	888	423	1597	1298	429
FBgn0031065	5	23	34	27	45	85	175	184	722	2277	1600	3734	3425	1693	243	258	443	866	1579	1505	487	83	87	995	1289	952	2342	4758	1305	890
FBgn0031066	9860	9050	22015	11613	11454	21085	24991	22826	24611	31993	18735	39254	39157	52802	19714	15455	7154	9922	10462	10494	54305	11652	14468	57302	25626	37085	20595	62673	60193	10460
FBgn0031068	3543	826	1282	1099	933	1039	1333	1356	1618	2539	1350	2588	2101	2557	798	571	664	1071	1360	1672	2093	1869	1698	2481	4660	2980	2174	2521	2261	977
FBgn0031069	13115	6362	12685	9559	7377	8362	8496	12617	22532	36958	24758	45197	21122	28073	6605	8120	5358	6683	11097	9445	23548	13336	11219	23010	37348	25143	7938	4642	7778	7785
FBgn0031070	7470	6935	24868	13049	8385	5103	3875	2943	1605	1041	633	1580	172	380	239	583	919	1484	3374	2510	1986	2359	2005	1101	1715	1408	1149	943	905	1630
FBgn0031074	6	3	30	36	34	49	30	27	25	19	14	34	42	43	27	27	28	48	58	73	4	5	10	87	182	147	66	56	46	35
FBgn0031077	1734	898	6716	7027	5497	7986	6402	5532	3202	2445	1296	1800	6236	4611	1210	979	1284	2123	2386	3331	4091	2280	2182	1030	2176	1159	2198	1609	1173	2516
FBgn0031078	31863	31375	74722	32224	25191	20997	19427	18995	10907	5357	2745	6754	10504	11352	3414	2901	3928	5503	7891	8297	20931	13907	13871	2291	3735	2142	4423	2831	2995	5879
FBgn0031079	31738	10337	21351	15250	14395	20942	19846	18739	12441	9784	1638	3223	2826	2091	722	715	2497	5441	10508	9217	16675	14652	12656	3443	4967	3188	7045	5666	3332	8523
FBgn0031080	2	2	3	4	9	68	61	129	205	509	259	589	360	291	108	119	372	876	190	85	286	161	96	333	1248	507	46	289	262	3802
FBgn0031081	7	21	58	73	221	1128	2159	2315	2928	3484	1818	4378	2870	2164	476	474	1097	2337	2530	2661	1255	327	307	1777	1948	1695	2336	2305	1574	2530
FBgn0031082	0	0	0	0	0	0	0	1	2	2	1	0	0	0	3	63	159	308	538	761	1	0	0	1478	2177	1779	1101	1266	836	318
FBgn0031085	0	0	0	0	4	1	0	12	12	6	1	12	7	2	12	293	637	1315	2359	3177	9	2	0	8929	14612	10386	4825	6132	4749	1315
FBgn0031086	99	288	17	3	7	5	5	4	4	2	4	6	2	1	0	0	2	1	3	3	7	1	0	2	10	3	4	15	6	0
